Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2
co2,124-38-9,acetonitrile,75-05-8,0.23399999999999999,55,0.766,30.8,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.395,55,0.605,52.3,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.47,55,0.53,62.9,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.526,55,0.474,69.9,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.58,55,0.42000000000000004,75.6,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.649,55,0.351,79.6,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.718,55,0.28200000000000003,87.1,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.784,55,0.21599999999999997,86.0,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.838,55,0.16200000000000003,89.9,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.888,55,0.11199999999999999,92.9,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.91,55,0.08999999999999997,95.1,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.114,75,0.886,22.0,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.184,75,0.8160000000000001,31.2,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.23399999999999999,75,0.766,38.7,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.304,75,0.696,48.4,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.395,75,0.605,60.7,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.47,75,0.53,74.1,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.526,75,0.474,86.0,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.58,75,0.42000000000000004,93.2,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.649,75,0.351,102.2,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.718,75,0.28200000000000003,111.2,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.784,75,0.21599999999999997,112.0,C(=O)=O,CC#N
co2,124-38-9,acetonitrile,75-05-8,0.838,75,0.16200000000000003,116.0,C(=O)=O,CC#N
co2,124-38-9,DMSO,67-68-5,0.0666,25,0.9334,10.3,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.1358,25,0.8642,20.0,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.2311,25,0.7689,30.1,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.3282,25,0.6718,40.2,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.4775,25,0.5225,50.1,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.5906,25,0.4094,55.1,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.0524,35,0.9476,10.4,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.16329999999999997,35,0.8367,30.0,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.3128,35,0.6872,50.1,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.41340000000000005,35,0.5866,60.1,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.4919,35,0.5081,65.1,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.5571,35,0.44289999999999996,70.4,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.043899999999999995,45,0.9561,10.1,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.2507,45,0.7493000000000001,50.0,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.3196,45,0.6804,60.1,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.3937,45,0.6063000000000001,70.4,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.5411,45,0.4589,85.2,C(=O)=O,CS(=O)C
co2,124-38-9,DMSO,67-68-5,0.6004,45,0.39959999999999996,90.4,C(=O)=O,CS(=O)C
co2,124-38-9,DMF,68-12-2,0.0962,21,0.9038,5.6,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.1691,21,0.8309,10.3,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.2402,21,0.7598,15.1,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.30879999999999996,21,0.6912,19.9,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.36939999999999995,21,0.6306,24.5,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.461,21,0.5389999999999999,31.2,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.5256000000000001,21,0.47439999999999993,35.7,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.6031,21,0.39690000000000003,40.2,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.6831999999999999,21,0.3168000000000001,45.1,C(=O)=O,CN(C)C=O
co2,124-38-9,DMF,68-12-2,0.7723,21,0.2277,48.5,C(=O)=O,CN(C)C=O
